iter	MultiClass
0	4.244773254
1	4.140701823
2	4.06513139
3	3.947159954
4	3.892957227
5	3.818052205
6	3.752377831
7	3.696090685
8	3.643624587
9	3.578818672
10	3.547235208
11	3.495159689
12	3.470818178
13	3.430381613
14	3.397210578
15	3.357698618
16	3.335337218
17	3.289807358
18	3.255136568
19	3.230316722
20	3.204798648
21	3.179945686
22	3.150695496
23	3.118845903
24	3.098952395
25	3.069615312
26	3.045304104
27	3.030718055
28	2.993570522
29	2.968484566
30	2.945680098
31	2.928344856
32	2.910883237
33	2.889591228
34	2.87074717
35	2.849867308
36	2.825129463
37	2.80775706
38	2.787147233
39	2.779426304
40	2.759218403
41	2.743475638
42	2.728228042
43	2.713135598
44	2.698892274
45	2.675615055
46	2.665517684
47	2.644676242
48	2.635568561
49	2.623882655
50	2.619719173
51	2.613151275
52	2.599341747
53	2.591980777
54	2.582517666
55	2.57093853
56	2.567235558
57	2.549855158
58	2.538553364
59	2.529698358
60	2.520050216
61	2.511784148
62	2.505196645
63	2.495956359
64	2.482798927
65	2.470375104
66	2.457833682
67	2.447532938
68	2.428232355
69	2.424698228
70	2.414410436
71	2.40159667
72	2.386198561
73	2.372194434
74	2.365319638
75	2.348072477
76	2.341163864
77	2.326644906
78	2.323575995
79	2.318051808
80	2.311973447
81	2.301481046
82	2.296368068
83	2.286257294
84	2.275421594
85	2.267769642
86	2.259396623
87	2.256124589
88	2.242581972
89	2.238671976
90	2.236855318
91	2.228953221
92	2.215357611
93	2.207793252
94	2.194244214
95	2.181753058
96	2.172086634
97	2.159643083
98	2.152140186
99	2.148797148
