iter	Passed	Remaining
0	8	823
1	16	810
2	24	806
3	33	797
4	41	784
5	49	775
6	57	768
7	66	764
8	75	759
9	83	750
10	91	738
11	99	727
12	107	718
13	115	709
14	123	699
15	131	692
16	139	683
17	147	672
18	155	663
19	163	655
20	172	649
21	181	642
22	189	635
23	198	627
24	206	619
25	215	612
26	223	605
27	232	597
28	240	588
29	248	580
30	257	572
31	265	563
32	273	555
33	281	547
34	290	540
35	299	532
36	307	523
37	315	515
38	324	507
39	332	498
40	341	490
41	349	482
42	357	473
43	365	465
44	374	457
45	382	449
46	390	440
47	398	432
48	406	423
49	414	414
50	423	406
51	431	398
52	440	390
53	448	382
54	456	373
55	465	365
56	473	357
57	482	349
58	490	340
59	498	332
60	506	324
61	514	315
62	523	307
63	531	299
64	540	290
65	548	282
66	556	274
67	565	265
68	573	257
69	584	250
70	593	242
71	601	233
72	610	225
73	618	217
74	626	208
75	635	200
76	643	192
77	651	183
78	659	175
79	667	166
80	675	158
81	684	150
82	692	141
83	700	133
84	708	125
85	716	116
86	724	108
87	733	99
88	741	91
89	749	83
90	758	74
91	766	66
92	774	58
93	783	50
94	794	41
95	806	33
96	818	25
97	827	16
98	836	8
99	844	0
